Company,Cocoa Percent,Country,Rating,Bean Type
Bellflower,70%,U.S.A.,3.25,
Bellflower,70%,U.S.A.,3.5,
Belyzium,83%,Germany,2.75,Trinitario
Belyzium,78%,Germany,3,Trinitario
Belyzium,83%,Germany,3.5,Trinitario
Benoit Nihant,74%,Belgium,3.5,Trinitario
Benoit Nihant,74%,Belgium,3.5,Criollo
Benoit Nihant,74%,Belgium,3.5,Criollo
Benoit Nihant,73%,Belgium,4,Trinitario
Benoit Nihant,72%,Belgium,4,Trinitario
Benoit Nihant,72%,Belgium,3.75,Trinitario
Bernachon,55%,France,2.75,
Beschle (Felchlin),64%,Switzerland,3,Trinitario
Beschle (Felchlin),88%,Switzerland,3,Criollo
Beschle (Felchlin),72%,Switzerland,3.5,
Beschle (Felchlin),72%,Switzerland,4,
Beschle (Felchlin),70%,Switzerland,3.25,Trinitario
Beschle (Felchlin),74%,Switzerland,3.25,Criollo (Porcelana)
Beschle (Felchlin),64%,Switzerland,3.5,
Beschle (Felchlin),72%,Switzerland,3.5,
Bisou,76%,U.S.A.,2.5,
Bisou,76%,U.S.A.,2.5,
Bisou,78%,U.S.A.,2.5,
Bisou,86%,U.S.A.,3.25,Trinitario
Bittersweet Origins,72%,U.S.A.,3.5,Forastero
Bittersweet Origins,75%,U.S.A.,3.25,
Bittersweet Origins,70%,U.S.A.,3.75,Blend
Bittersweet Origins,65%,U.S.A.,2.75,
Bittersweet Origins,70%,U.S.A.,3,Trinitario
Bittersweet Origins,78%,U.S.A.,3,Criollo
Bittersweet Origins,75%,U.S.A.,3,
Bittersweet Origins,65%,U.S.A.,3.5,
Bittersweet Origins,75%,U.S.A.,3.25,Trinitario
Bittersweet Origins,65%,U.S.A.,3.5,Trinitario
Bittersweet Origins,71%,U.S.A.,3,Trinitario
Bittersweet Origins,75%,U.S.A.,3.5,
Bittersweet Origins,68%,U.S.A.,3.75,
Bittersweet Origins,70%,U.S.A.,3,Forastero
Black Mountain,70%,U.S.A.,2.75,
Black Mountain,70%,U.S.A.,2.75,Trinitario
Black Mountain,70%,U.S.A.,3,
Black River (A. Morin),70%,U.K.,2.75,Trinitario
Blanxart,82%,Spain,3.5,Forastero
Blanxart,72%,Spain,2.75,
Blue Bandana,82%,U.S.A.,3.5,Trinitario
Blue Bandana,75%,U.S.A.,2.75,
Blue Bandana,75%,U.S.A.,3.5,
Blue Bandana,75%,U.S.A.,3,
Blue Bandana,70%,U.S.A.,3.5,
Blue Bandana,70%,U.S.A.,3.75,Trinitario
Bonnat,75%,France,3.5,
Bonnat,75%,France,4,
Bonnat,75%,France,3.25,
Bonnat,65%,France,3.75,
Bonnat,75%,France,3.5,
Bonnat,75%,France,3.25,
Bonnat,75%,France,3.5,Trinitario
Bonnat,75%,France,3.5,
Bonnat,75%,France,3.5,Forastero (Nacional)
Bonnat,75%,France,3.75,
Bonnat,75%,France,4,
Bonnat,75%,France,4,Criollo
Bonnat,75%,France,3.5,
Bonnat,75%,France,3.25,Trinitario
Bonnat,75%,France,3,
Bonnat,75%,France,2.75,Criollo
Bonnat,75%,France,3,Criollo
Bonnat,75%,France,3,Criollo
Bonnat,75%,France,4,Criollo (Porcelana)
Bonnat,75%,France,2.5,Forastero (Arriba)
Bonnat,75%,France,3.75,Trinitario
Bonnat,75%,France,4,
Bonnat,75%,France,4,Criollo
Bonnat,75%,France,4,Trinitario
Bonnat,100%,France,1.5,
Bonnat,75%,France,3,
Bonnat,75%,France,4,Trinitario
Bouga Cacao (Tulicorp),77%,Ecuador,3.25,Forastero (Arriba)
Bouga Cacao (Tulicorp),100%,Ecuador,1.5,Forastero (Arriba)
Bowler Man,70%,U.S.A.,2.75,Trinitario
Bowler Man,70%,U.S.A.,2.75,
Brasstown aka It's Chocolate,70%,U.S.A.,3.5,Criollo
Brasstown aka It's Chocolate,70%,U.S.A.,3.75,
Brasstown aka It's Chocolate,68%,U.S.A.,3.75,
Brasstown aka It's Chocolate,70%,U.S.A.,3.75,Trinitario
Brasstown aka It's Chocolate,70%,U.S.A.,4,Trinitario
Brasstown aka It's Chocolate,72%,U.S.A.,3,Trinitario
Brasstown aka It's Chocolate,70%,U.S.A.,3.25,
Brasstown aka It's Chocolate,75%,U.S.A.,3.5,Forastero
Brasstown aka It's Chocolate,85%,U.S.A.,3.5,Trinitario
Brazen,60%,U.S.A.,3,
Brazen,80%,U.S.A.,3.25,
Brazen,70%,U.S.A.,3.5,
Brazen,80%,U.S.A.,2.75,
Brazen,80%,U.S.A.,3.25,Trinitario
Brazen,60%,U.S.A.,3.25,
Breeze Mill,70%,U.S.A.,3,Trinitario
Bright,72%,Australia,3,Trinitario
Bright,70%,Australia,3.5,
Bright,72%,Australia,3.5,
Bright,68%,Australia,2.75,Trinitario
Britarev,70%,Russia,3.25,
Bronx Grrl Chocolate,68%,U.S.A.,2.75,
Burnt Fork Bend,72%,U.S.A.,3.25,Trinitario
Burnt Fork Bend,72%,U.S.A.,3.5,
Burnt Fork Bend,72%,U.S.A.,3.25,Trinitario
Burnt Fork Bend,72%,U.S.A.,3.25,Blend
Burnt Fork Bend,60%,U.S.A.,2.5,
Cacao Arabuco,70%,Puerto Rico,2.5,
Cacao Atlanta,75%,U.S.A.,2.5,Criollo
Cacao Atlanta,75%,U.S.A.,2.5,
Cacao Atlanta,75%,U.S.A.,2.75,
Cacao Atlanta,75%,U.S.A.,2.25,
Cacao Barry,65%,France,3.5,"Trinitario, Criollo"
Cacao Barry,70%,France,3,
Cacao Barry,75%,France,2,
Cacao Barry,72%,France,2,
Cacao Barry,66%,France,3,
Cacao de Origen,77%,Venezuela,3.5,Trinitario
Cacao de Origen,75%,Venezuela,3.25,Trinitario
Cacao de Origen,75%,Venezuela,2.5,
Cacao de Origen,74%,Venezuela,3.25,
Cacao de Origen,75%,Venezuela,3.5,Trinitario
Cacao de Origen,70%,Venezuela,3.75,Trinitario
Cacao de Origin,74%,Venezuela,3.25,
Cacao Hunters,71%,Colombia,3.75,
Cacao Hunters,74%,Colombia,3.75,
Cacao Hunters,72%,Colombia,3.75,
Cacao Hunters,64%,Colombia,3.5,
Cacao Hunters,70%,Colombia,3.5,
Cacao Hunters,69%,Colombia,2.75,
Cacao Hunters,70%,Colombia,3.25,
Cacao Market,70%,U.S.A.,3.5,Trinitario
Cacao Prieto,72%,U.S.A.,3.75,Criollo
Cacao Prieto,72%,U.S.A.,3,
Cacao Prieto,66%,U.S.A.,3.75,
Cacao Prieto,65%,U.S.A.,3.25,
Cacao Sampaka,70%,Spain,3.5,Criollo
Cacao Sampaka,71%,Spain,3.5,Trinitario
Cacao Sampaka,71%,Spain,3.75,
Cacao Sampaka,71%,Spain,4,
Cacao Sampaka,71%,Spain,3.25,Trinitario
Cacao Sampaka,71%,Spain,3.5,
Cacao Sampaka,77%,Spain,3.5,
Cacao Sampaka,70%,Spain,4,Criollo
Cacao Sampaka,70%,Spain,4,Criollo
Cacao Store,70%,Japan,3,Trinitario
Cacao Store,70%,Japan,3.25,
Cacao Store,70%,Japan,3.5,Trinitario
Cacaosuyo (Theobroma Inversiones),70%,Peru,3.25,
Cacaoyere (Ecuatoriana),63%,Ecuador,3.5,Forastero (Arriba)
Cacaoyere (Ecuatoriana),71%,Ecuador,3.5,Forastero (Arriba)
Cacaoyere (Ecuatoriana),82%,Ecuador,2.5,Forastero (Arriba)
Cacaoyere (Ecuatoriana),91%,Ecuador,1.5,Forastero (Arriba)
Callebaut,60%,Belgium,2.75,Trinitario
Callebaut,70%,Belgium,1,
C-Amaro,75%,Italy,2.5,
C-Amaro,72%,Italy,3,
C-Amaro,70%,Italy,3.5,Blend
C-Amaro,100%,Italy,3.5,
C-Amaro,80%,Italy,3,
C-Amaro,78%,Italy,2.25,Forastero
C-Amaro,70%,Italy,2.5,Trinitario
Cao,75%,U.S.A.,2.5,Criollo
Cao,73%,U.S.A.,2.75,
Cao,70%,U.S.A.,3,Criollo
Cao,75%,U.S.A.,3,
Cao,70%,U.S.A.,3.25,Trinitario
Caoni (Tulicorp),77%,Ecuador,2,Forastero (Arriba)
Caoni (Tulicorp),77%,Ecuador,2.5,Forastero (Arriba)
Caoni (Tulicorp),77%,Ecuador,2.75,Forastero (Arriba)
Caoni (Tulicorp),55%,Ecuador,3,Forastero (Arriba)
Caoni (Tulicorp),55%,Ecuador,3.25,Forastero (Arriba)
Caoni (Tulicorp),55%,Ecuador,3.5,Forastero (Arriba)
Captain Pembleton,70%,New Zealand,3.5,Trinitario
Captain Pembleton,70%,New Zealand,3.75,
Caribeans,72%,Costa Rica,3.5,
Caribeans,72%,Costa Rica,3.25,
Caribeans,72%,Costa Rica,3.5,
Caribeans,72%,Costa Rica,3,Forastero
Caribeans,80%,Costa Rica,2.75,Forastero
Carlotta Chocolat,65%,Colombia,3,Trinitario
Carlotta Chocolat,65%,Colombia,3.25,Trinitario
Carlotta Chocolat,65%,Colombia,3.25,Trinitario
Carlotta Chocolat,65%,Colombia,3.5,Trinitario
Carlotta Chocolat,65%,Colombia,3.5,CCN51
Castronovo,72%,U.S.A.,4,Trinitario
Castronovo,72%,U.S.A.,3.5,Trinitario
Castronovo,70%,U.S.A.,3.75,"Criollo, Trinitario"
Castronovo,72%,U.S.A.,3.5,
Castronovo,72%,U.S.A.,3.5,"Criollo, Trinitario"
Castronovo,76%,U.S.A.,3.5,"Criollo, Trinitario"
Castronovo,70%,U.S.A.,2.75,Trinitario
Castronovo,70%,U.S.A.,3,Trinitario
Castronovo,73%,U.S.A.,3.5,Trinitario
Castronovo,70%,U.S.A.,2.5,Criollo
Castronovo,70%,U.S.A.,3.25,
Castronovo,72%,U.S.A.,3.25,Trinitario
Castronovo,70%,U.S.A.,2.75,Criollo
Castronovo,72%,U.S.A.,3,
Cello,70%,U.S.A.,2.5,
Cello,70%,U.S.A.,2.75,
Cello,70%,U.S.A.,2.75,
Cello,70%,U.S.A.,3,
Cemoi,72%,France,2.75,
Chaleur B,70%,Canada,2.75,Forastero
Charm School,70%,U.S.A.,3.25,
Chchukululu (Tulicorp),55%,Ecuador,2.75,Forastero (Arriba)
Chchukululu (Tulicorp),75%,Ecuador,3,Forastero (Arriba)
Chequessett,70%,U.S.A.,3.5,
Chloe Chocolat,70%,France,3.5,
Chocablog,70%,U.K.,3.25,
Choco Del Sol,75%,Germany,3,Trinitario
Choco Del Sol,82%,Germany,3.25,Trinitario
Choco Dong,70%,South Korea,2.75,Trinitario
Choco Dong,70%,South Korea,3.5,Trinitario
Chocolarder,65%,U.K.,2.5,Criollo
Chocolarder,65%,U.K.,2.75,Criollo
Chocolarder,80%,U.K.,2.5,
Chocola'te,70%,U.S.A.,3.75,Trinitario
Chocola'te,68%,U.S.A.,3.75,
Chocolate Alchemist-Philly,90%,U.S.A.,2.5,
Chocolate Alchemist-Philly,80%,U.S.A.,2.5,
Chocolate Con Amor,70%,U.S.A.,2.5,
Chocolate Con Amor,70%,U.S.A.,2.75,
Chocolate Con Amor,60%,U.S.A.,3,
Chocolate Con Amor,75%,U.S.A.,3,
Chocolate Con Amor,80%,U.S.A.,3,Criollo (Ocumare)
Chocolate Con Amor,70%,U.S.A.,3.25,
Chocolate Con Amor,80%,U.S.A.,2.75,
Chocolate Conspiracy,74%,U.S.A.,2.75,
Chocolate Makers,75%,Amsterdam,3.25,Trinitario
Chocolate Makers,68%,Amsterdam,3.5,Forastero
Chocolate Makers,80%,Amsterdam,3.75,Criollo
"Chocolate Tree, The",69%,Scotland,3.75,Forastero (Nacional)
"Chocolate Tree, The",80%,Scotland,3.75,Trinitario
"Chocolate Tree, The",70%,Scotland,3.75,Forastero (Nacional)
"Chocolate Tree, The",82%,Scotland,2.5,Forastero (Arriba)
"Chocolate Tree, The",68%,Scotland,2.75,Criollo
"Chocolate Tree, The",72%,Scotland,3.25,Criollo
Chocolats Privilege,70%,Canada,2.5,Criollo
ChocoReko,77%,Japan,3,Criollo
Chocosol,65%,Canada,3.25,
Chocovic,71%,Spain,3.25,Criollo
Chocovic,71%,Spain,3.5,Trinitario
Chocovic,60%,Spain,3.25,
Chocovic,75%,Spain,3.25,
Chocovic,71%,Spain,3.5,Criollo
Chocovic,71%,Spain,2.5,Forastero (Arriba)
Chocovic,71%,Spain,2.5,Trinitario
Chocovic,70%,Spain,3,Blend
Chocovivo,65%,U.S.A.,2.5,Trinitario
Chocovivo,75%,U.S.A.,2.5,Trinitario
Choklat,80%,Canada,2.5,Criollo
Choklat,70%,Canada,2.75,Criollo
Choklat,70%,Canada,3,
Choklat,80%,Canada,3,
Choklat,70%,Canada,3,Criollo
Chokolat Elot (Girard),42%,Martinique,2.75,
Choocsol,75%,Canada,3.25,
Christopher Morel (Felchlin),68%,Canada,3.75,Forastero (Nacional)
Chuao Chocolatier,61%,U.S.A.,3,Criollo
Chuao Chocolatier (Pralus),77%,U.S.A.,2.75,Trinitario
Claudio Corallo,73.50%,Sao Tome,3.75,Forastero
Claudio Corallo,80%,Sao Tome,3,Forastero
Claudio Corallo,75%,Sao Tome,4,Forastero
Claudio Corallo,100%,Sao Tome,1,Forastero
Cloudforest,73%,U.S.A.,3.5,
Coleman & Davis,75%,U.S.A.,3,Trinitario
Compania de Chocolate (Salgado),70%,Argentina,3.25,
Compania de Chocolate (Salgado),80%,Argentina,2.75,Trinitario
Compania de Chocolate (Salgado),72%,Argentina,3.25,
Compania de Chocolate (Salgado),70%,Argentina,3.75,Criollo
Compania de Chocolate (Salgado),88%,Argentina,2.75,Forastero (Nacional)
Condor,76%,U.S.A.,3.5,
Confluence,78%,U.S.A.,2.75,Trinitario
Coppeneur,65%,Germany,3.25,Forastero (Nacional)
Coppeneur,85%,Germany,3.5,Forastero
Coppeneur,100%,Germany,1.5,
Coppeneur,72%,Germany,3.75,Forastero
Coppeneur,70%,Germany,3.5,Trinitario
Coppeneur,72%,Germany,3.25,Trinitario
Coppeneur,70%,Germany,3,Trinitario
Coppeneur,72%,Germany,2.5,Nacional
Coppeneur,72%,Germany,3,Trinitario
Coppeneur,72%,Germany,3.25,Trinitario
Coppeneur,72%,Germany,3.25,Criollo (Ocumare 61)
Coppeneur,72%,Germany,3,Criollo
Coppeneur,62%,Germany,3.25,Criollo
Coppeneur,70%,Germany,3.5,"Criollo, Trinitario"
Coppeneur,70%,Germany,3.75,"Criollo, Trinitario"
Coppeneur,72%,Germany,3,Criollo
Coppeneur,72%,Germany,3,Criollo (Porcelana)
Coppeneur,72%,Germany,3,Trinitario
Cote d' Or (Kraft),70%,Belgium,1,
Cravve,70%,Australia,2.5,Forastero
Cravve,83%,Australia,2.75,Trinitario
Cravve,75%,Australia,3.25,Forastero
Cravve,65%,Australia,3.25,Trinitario
Cravve,67%,Australia,3.25,Trinitario
Cravve,64%,Australia,3.25,Trinitario
Cravve,75%,Australia,3.5,Forastero
Creo,85%,U.S.A.,3.25,Forastero (Nacional)
Creo,73%,U.S.A.,3.75,Forastero (Nacional)
Daintree,70%,Australia,2.75,
Daintree,70%,Australia,3.25,
Dalloway,72%,U.S.A.,2.75,
Damson,70%,U.K.,3,Trinitario
Damson,70%,U.K.,3.5,
Damson,70%,U.K.,2.25,
Damson,70%,U.K.,2.75,
Dandelion,70%,U.S.A.,3.75,
Dandelion,70%,U.S.A.,3,Trinitario
Dandelion,70%,U.S.A.,3.5,Trinitario
Dandelion,70%,U.S.A.,3.5,
Dandelion,70%,U.S.A.,2.75,
Dandelion,70%,U.S.A.,3.75,
Dandelion,70%,U.S.A.,2.75,
Dandelion,70%,U.S.A.,3.25,
Dandelion,70%,U.S.A.,3.5,
Dandelion,70%,U.S.A.,3.5,
Dandelion,70%,U.S.A.,3,
Dandelion,70%,U.S.A.,3.25,
Dandelion,70%,U.S.A.,3.75,
Dandelion,70%,U.S.A.,3.25,
Dandelion,70%,U.S.A.,3.25,Trinitario
Dandelion,70%,U.S.A.,3.25,
Danta,82%,Guatemala,3.25,
Danta,75%,Guatemala,3,Trinitario
Danta,70%,Guatemala,3.75,
Danta,70%,Guatemala,3.75,Trinitario
Danta,70%,Guatemala,4,Criollo
Danta,70%,Guatemala,3.25,
Danta,60%,Guatemala,3.5,
Danta,75%,Guatemala,3,Criollo
Danta,60%,Guatemala,3.25,Criollo
DAR,72%,U.S.A.,2.75,
DAR,72%,U.S.A.,3,Trinitario
DAR,70%,U.S.A.,3.25,
Dark Forest,75%,U.S.A.,3.25,
Dark Forest,70%,U.S.A.,3,Trinitario
Dark Forest,70%,U.S.A.,3.25,
Dark Forest,70%,U.S.A.,3,
Dark Forest,70%,U.S.A.,3.25,
Davis,70%,U.S.A.,2.5,Forastero
Davis,70%,U.S.A.,2.75,
Davis,70%,U.S.A.,2.75,
Davis,58%,U.S.A.,3.25,Forastero
De Mendes,72%,Brazil,3.5,
De Mendes,65%,Brazil,3.5,
De Villiers,70%,South Africa,2.5,Forastero
De Villiers,70%,South Africa,3,
Dean and Deluca (Belcolade),66%,U.S.A.,2.5,Trinitario
Dean and Deluca (Belcolade),64%,U.S.A.,3,
Dean and Deluca (Belcolade),71%,U.S.A.,3,
Dean and Deluca (Belcolade),60%,U.S.A.,3,Forastero
Dean and Deluca (Belcolade),64%,U.S.A.,3,
Dean and Deluca (Belcolade),64%,U.S.A.,3,
Debauve & Gallais (Michel Cluizel),64%,France,3,
Debauve & Gallais (Michel Cluizel),66%,France,3.75,
Desbarres,72%,Canada,2.5,
DeVries,80%,U.S.A.,2.75,
DeVries,77%,U.S.A.,3.5,Trinitario
DeVries,77%,U.S.A.,3.5,
Dick Taylor,70%,U.S.A.,3.75,
Dick Taylor,78%,U.S.A.,3.5,Trinitario
Dick Taylor,70%,U.S.A.,3.75,
Dick Taylor,74%,U.S.A.,3.5,
Dick Taylor,70%,U.S.A.,3.25,
Dick Taylor,76%,U.S.A.,3.5,
Dick Taylor,75%,U.S.A.,2.75,
Dick Taylor,72%,U.S.A.,2.75,Trinitario
Dick Taylor,80%,U.S.A.,2.75,Trinitario
Dick Taylor,72%,U.S.A.,3,Trinitario
Dick Taylor,75%,U.S.A.,2.75,Criollo
Dick Taylor,74%,U.S.A.,3,
Dick Taylor,70%,U.S.A.,3.25,
Doble & Bignall,85%,U.K.,3,
Doble & Bignall,72%,U.K.,3.25,
Doble & Bignall,72%,U.K.,3.25,Trinitario
Doble & Bignall,72%,U.K.,3.5,"Criollo, Trinitario"
Dole (Guittard),70%,U.S.A.,3.75,
Dolfin (Belcolade),88%,Belgium,3,Forastero
Dolfin (Belcolade),70%,Belgium,1.5,
Domori,70%,Italy,3.75,
Domori,70%,Italy,3.75,Criollo (Ocumare 77)
Domori,100%,Italy,3,Criollo
Domori,70%,Italy,3.5,
Domori,70%,Italy,3.75,Criollo
Domori,70%,Italy,3.5,Criollo
Domori,70%,Italy,3,Trinitario
Domori,70%,Italy,3,Trinitario
Domori,70%,Italy,3,
Domori,78%,Italy,3.5,Blend
Domori,70%,Italy,3.75,Blend
Domori,70%,Italy,4,Criollo (Porcelana)
Domori,75%,Italy,3.25,Criollo (Ocumare 61)
Domori,60%,Italy,3.25,Trinitario
Domori,70%,Italy,3.5,Trinitario
Domori,70%,Italy,3.5,Criollo
Domori,70%,Italy,3.75,Criollo
Domori,70%,Italy,4,Forastero (Arriba)
Domori,70%,Italy,4,Criollo (Ocumare 67)
Domori,70%,Italy,3,Trinitario
Domori,70%,Italy,3.25,Trinitario
Domori,70%,Italy,3.5,Trinitario
Dormouse,75%,U.K.,2.75,Trinitario
Dormouse,70%,U.K.,2.5,Trinitario
Dormouse,80%,U.K.,2.75,"Criollo, Trinitario"
Dormouse,77%,U.K.,2.75,"Criollo, Trinitario"
Duffy's,70%,U.K.,4,Criollo
Duffy's,70%,U.K.,3.5,Criollo
Duffy's,76%,U.K.,3.75,Criollo
Duffy's,72%,U.K.,3.75,
Duffy's,72%,U.K.,3.75,Criollo
Duffy's,65%,U.K.,3.5,
Duffy's,72%,U.K.,3,
Duffy's,71%,U.K.,3.25,Criollo
Duffy's,71%,U.K.,3.5,
Duffy's,70%,U.K.,3.5,
Duffy's,72%,U.K.,3.75,
Duffy's,70%,U.K.,2.5,
Duffy's,70%,U.K.,3.75,
Dulcinea,70%,U.S.A.,3.25,
Durand,82%,France,2.75,Trinitario
Durci,70%,U.S.A.,3.5,Forastero (Nacional)
Durci,70%,U.S.A.,3.5,Trinitario
Durci,70%,U.S.A.,3.25,
Durci,70%,U.S.A.,3.25,Trinitario
Durci,70%,U.S.A.,4,
East Van Roasters,70%,Canada,3.25,
